name,createdAt,tick,leftPoint,rightPoint,angleOfVector,lengthOfVector,differenceX,differenceY,meanX,meanY
eye,1580312721514,399,"{""x"":96.75525226561183,""y"":121.63623966024608}","{""x"":131.72004859171565,""y"":125.62691486483158}",6.511226169041779,35.19179550285005,34.96479632610382,3.9906752045855,114.23765042866374,123.63157726253883
eye,1580312721608,400,"{""x"":94.69151774995052,""y"":120.70910753199183}","{""x"":130.64970161900678,""y"":125.95027374018545}",8.292876780240038,36.33814538997234,35.958183869056256,5.241166208193619,112.67060968447865,123.32969063608864
eye,1580312721696,401,"{""x"":93.5548849586917,""y"":121.95205282103765}","{""x"":128.99278814148832,""y"":126.34567794460216}",7.06752051025531,35.709227431011215,35.43790318279662,4.3936251235645045,111.27383655009001,124.1488653828199
eye,1580312721787,402,"{""x"":93.15630398164518,""y"":123.10062715207786}","{""x"":128.76630770205037,""y"":126.60925227315207}",5.62714468300372,35.782437245211575,35.61000372040519,3.5086251210742034,110.96130584184777,124.85493971261496
eye,1580312721893,403,"{""x"":93.56644156141877,""y"":123.59369560943512}","{""x"":129.07076960890512,""y"":126.63439832738314}",4.895046740164908,35.63429784803487,35.504328047486354,3.0407027179480224,111.31860558516195,125.11404696840913
eye,1580312721979,404,"{""x"":93.2334214459541,""y"":124.79842728747812}","{""x"":128.81747728816126,""y"":127.3809236984932}",4.150937182332093,35.67764451157368,35.584055842207164,2.582496411015086,111.02544936705767,126.08967549298566
eye,1580312722063,405,"{""x"":93.4094713307276,""y"":124.28539803615308}","{""x"":128.75351351587992,""y"":127.46132042146223}",5.1346575524609035,35.4864453134339,35.34404218515232,3.17592238530915,111.08149242330376,125.87335922880766
eye,1580312722145,406,"{""x"":92.90201892484899,""y"":123.91482301706375}","{""x"":129.85696014310912,""y"":127.0502624794708}",4.849641774564369,37.08771577042028,36.95494121826013,3.1354394624070494,111.37948953397905,125.48254274826728
eye,1580312722236,407,"{""x"":93.90988625475492,""y"":121.72191254250725}","{""x"":130.98082198321998,""y"":126.71553647978016}",7.671822409363645,37.40575565084726,37.07093572846506,4.9936239372729005,112.44535411898745,124.2187245111437
eye,1580312722316,408,"{""x"":94.04442759083713,""y"":121.33107738325077}","{""x"":131.22706365762195,""y"":127.14377932732464}",8.88504394281923,37.63423878286377,37.18263606678482,5.812701944073865,112.63574562422954,124.2374283552877
eye,1580312722405,409,"{""x"":93.04737091630435,""y"":121.68898202686705}","{""x"":130.9005042737245,""y"":127.8950402092863}",9.310863623315749,38.358504443450435,37.85313335742015,6.206058182419241,111.97393759501442,124.79201111807667
eye,1580312722481,410,"{""x"":92.36848456923263,""y"":121.97049498062813}","{""x"":130.20008897208763,""y"":128.65516565549973}",10.020471366607362,38.41764065797906,37.83160440285499,6.684670674871597,111.28428677066013,125.31283031806393
eye,1580312722579,411,"{""x"":91.67516605790362,""y"":121.79192450775236}","{""x"":129.59456102819755,""y"":128.73906702581428}",10.381918882960859,38.55052923215732,37.91939497029392,6.9471425180619235,110.63486354305059,125.26549576678332
eye,1580312722675,412,"{""x"":91.02919651846506,""y"":122.47528661393977}","{""x"":129.9011426303613,""y"":128.1372254000927}",8.28720538332782,39.28213010192177,38.87194611189625,5.661938786152916,110.46516957441318,125.30625600701623
eye,1580312722772,413,"{""x"":91.99672420937515,""y"":121.84846589402557}","{""x"":130.74457861805882,""y"":127.74446365599815}",8.651942220029047,39.19386445460224,38.74785440868368,5.8959977619725805,111.37065141371698,124.79646477501186
eye,1580312722893,414,"{""x"":93.03300912443893,""y"":120.99884739544694}","{""x"":132.32666904423994,""y"":126.3572385487995}",7.765401934359851,39.65733306269223,39.293659919801,5.358391153352557,112.67983908433943,123.67804297212322
eye,1580312722972,415,"{""x"":94.39014385645044,""y"":121.43998196429243}","{""x"":133.39435509121384,""y"":125.89107255341389}",6.510327760076664,39.25736493294741,39.0042112347634,4.451090589121463,113.89224947383214,123.66552725885316
eye,1580312723053,416,"{""x"":95.05982646531805,""y"":121.2738754883718}","{""x"":133.52029910497922,""y"":126.32349420089042}",7.479793116391846,38.79054787970831,38.46047263966116,5.0496187125186225,114.29006278514863,123.79868484463111
eye,1580312723145,417,"{""x"":95.82956684626177,""y"":121.45874780717165}","{""x"":133.46085530289557,""y"":126.51653794082051}",7.654899736645536,37.969660413841154,37.6312884566338,5.057790133648865,114.64521107457867,123.98764287399608
eye,1580312723238,418,"{""x"":96.59789990069959,""y"":121.55332611717878}","{""x"":135.2784547947281,""y"":126.2252714117486}",6.886983128650925,38.96167860533484,38.68055489402852,4.6719452945698094,115.93817734771385,123.88929876446369
